Time,10S_LVL,10S_VALVE_IN,10S_VALVE_OUT,10S_PUMP,10P_LVL,10P_VALVE_IN,10P_VALVE_OUT,10P_PUMP
0,5.1,1,0,0,4.9,0,1,1
0.2,5.2,1,0,0,4.8,0,1,1
0.4,5.3,1,0,0,4.7,0,1,1
0.6,5.4,1,0,0,4.6,0,1,1
0.8,5.5,1,0,0,4.5,0,1,1
1.0,5.6,1,0,0,4.4,0,1,1
1.2,5.7,1,0,0,4.3,0,1,1
1.4,5.8,1,0,0,4.2,0,1,1
1.6,5.9,1,0,0,4.1,0,1,1
1.8,6.0,1,0,0,4.0,0,1,1
2.0,6.1,1,0,0,3.9,0,1,1
2.2,6.2,1,0,0,3.8,0,1,1
2.4,6.3,1,0,0,3.7,0,1,1
2.6,6.4,1,0,0,3.6,0,1,1
2.8,6.49999999999999,1,0,0,3.5,0,1,1
3.0,6.59999999999999,1,0,0,3.4,0,1,1
3.2,6.69999999999999,1,0,0,3.3,0,1,1
3.4,6.79999999999999,1,0,0,3.2,0,1,1
3.6,6.89999999999999,1,0,0,3.1,0,1,1
3.8,6.99999999999999,1,0,0,3.0,0,1,1
4.0,7.09999999999999,1,0,0,2.9,0,1,1
4.2,7.19999999999999,1,0,0,2.8,0,1,1
4.4,7.29999999999999,1,0,0,2.7,0,1,1
4.6,7.39999999999999,1,0,0,2.6,0,1,1
4.8,7.49999999999999,1,0,0,2.5,0,1,1
5.0,7.59999999999999,1,0,0,2.4,0,1,1
5.2,7.69999999999999,1,0,0,2.3,0,1,1
5.4,7.79999999999999,1,0,0,2.2,0,1,1
5.6,7.89999999999999,1,0,0,2.1,0,1,1
5.8,7.99999999999999,1,0,0,2.0,0,1,1
6.0,8.09999999999999,1,0,0,1.9,0,1,1
6.2,8.19999999999999,1,0,0,1.8,0,1,1
6.4,8.29999999999999,1,0,0,1.7,0,1,1
6.6,8.39999999999999,1,0,0,1.6,0,1,1
6.8,8.49999999999999,1,0,0,1.5,0,1,1
7.0,8.59999999999999,1,0,0,1.4,0,1,1
7.2,8.69999999999999,1,0,0,1.3,0,1,1
7.4,8.79999999999999,1,0,0,1.2,0,1,1
7.6,8.89999999999999,1,0,0,1.1,0,1,1
7.8,8.99999999999999,1,0,0,1.0,0,1,1
8.0,9.09999999999999,1,0,0,0.900000000000001,0,1,1
8.2,9.19999999999999,1,0,0,0.800000000000001,0,1,1
8.4,9.29999999999998,1,0,0,0.700000000000001,0,1,1
8.6,9.39999999999998,1,0,0,0.600000000000001,0,1,1
8.8,9.49999999999998,1,0,0,0.500000000000001,0,1,1
9.0,9.59999999999998,1,0,0,0.400000000000001,0,1,1
9.2,9.69999999999998,1,0,0,0.300000000000001,0,1,1
9.4,9.79999999999998,1,0,0,0.200000000000001,0,1,1
9.6,9.89999999999998,1,0,0,0.100000000000001,0,1,1
9.8,9.99999999999998,1,0,0,1.02695629777827e-15,0,1,1
10.0,10.1,1,0,0,-0.099999999999999,0,1,1
10.2,10.1,0,0,0,-0.199999999999999,0,0,1
10.4,10.1,0,0,0,-0.299999999999999,0,0,1
10.6,10.1,0,0,0,-0.399999999999999,0,0,1
10.8,10.1,0,0,0,-0.499999999999999,0,0,1
11.0,10.1,0,1,0,-0.499999999999999,0,0,0
11.2,10.1,0,1,0,-0.499999999999999,0,0,0
11.4,10.1,0,1,0,-0.499999999999999,0,0,0
11.6,10.1,0,1,0,-0.499999999999999,0,0,0
11.8,10.1,0,1,1,-0.499999999999999,0,0,0
12.0,9.99999999999998,0,1,1,-0.399999999999999,1,0,0
12.2,9.89999999999998,0,1,1,-0.299999999999999,1,0,0
12.4,9.79999999999998,0,1,1,-0.199999999999999,1,0,0
12.6,9.69999999999998,0,1,1,-0.099999999999999,1,0,0
12.8,9.59999999999998,0,1,1,9.71445146547012e-16,1,0,0
13.0,9.49999999999998,0,1,1,0.100000000000001,1,0,0
13.2,9.39999999999998,0,1,1,0.200000000000001,1,0,0
13.4,9.29999999999998,0,1,1,0.300000000000001,1,0,0
13.6,9.19999999999999,0,1,1,0.400000000000001,1,0,0
13.8,9.09999999999999,0,1,1,0.500000000000001,1,0,0
14.0,8.99999999999999,0,1,1,0.600000000000001,1,0,0
14.2,8.89999999999999,0,1,1,0.700000000000001,1,0,0
14.4,8.79999999999999,0,1,1,0.800000000000001,1,0,0
14.6,8.69999999999999,0,1,1,0.900000000000001,1,0,0
14.8,8.59999999999999,0,1,1,1.0,1,0,0
15.0,8.49999999999999,0,1,1,1.1,1,0,0
15.2,8.39999999999999,0,1,1,1.2,1,0,0
15.4,8.29999999999999,0,1,1,1.3,1,0,0
15.6,8.19999999999999,0,1,1,1.4,1,0,0
15.8,8.09999999999999,0,1,1,1.5,1,0,0
16.0,7.99999999999999,0,1,1,1.6,1,0,0
16.2,7.89999999999999,0,1,1,1.7,1,0,0
16.4,7.79999999999999,0,1,1,1.8,1,0,0
16.6,7.69999999999999,0,1,1,1.9,1,0,0
16.8,7.59999999999999,0,1,1,2.0,1,0,0
17.0,7.49999999999999,0,1,1,2.1,1,0,0
17.2,7.39999999999999,0,1,1,2.2,1,0,0
17.4,7.29999999999999,0,1,1,2.3,1,0,0
17.6,7.19999999999999,0,1,1,2.4,1,0,0
17.8,7.09999999999999,0,1,1,2.5,1,0,0
18.0,6.99999999999999,0,1,1,2.6,1,0,0
18.2,6.89999999999999,0,1,1,2.7,1,0,0
18.4,6.79999999999999,0,1,1,2.8,1,0,0
18.6,6.69999999999999,0,1,1,2.9,1,0,0
18.8,6.59999999999999,0,1,1,3.0,1,0,0
19.0,6.49999999999999,0,1,1,3.1,1,0,0
19.2,6.4,0,1,1,3.2,1,0,0
19.4,6.3,0,1,1,3.3,1,0,0
19.6,6.2,0,1,1,3.4,1,0,0
19.8,6.1,0,1,1,3.5,1,0,0
20.0,6.0,0,1,1,3.6,1,0,0
20.2,5.9,0,1,1,3.7,1,0,0
20.4,5.8,0,1,1,3.8,1,0,0
20.6,5.7,0,1,1,3.9,1,0,0
20.8,5.6,0,1,1,4.0,1,0,0
21.0,5.5,0,1,1,4.1,1,0,0
21.2,5.4,0,1,1,4.2,1,0,0
21.4,5.3,0,1,1,4.3,1,0,0
21.6,5.2,0,1,1,4.4,1,0,0
21.8,5.1,0,1,1,4.5,1,0,0
22.0,5.0,0,1,1,4.6,1,0,0
22.2,4.9,0,1,1,4.7,1,0,0
22.4,4.8,0,1,1,4.8,1,0,0
22.6,4.7,0,1,1,4.9,1,0,0
22.8,4.6,0,1,1,5.0,1,0,0
23.0,4.5,0,1,1,5.1,1,0,0
23.2,4.4,0,1,1,5.2,1,0,0
23.4,4.3,0,1,1,5.3,1,0,0
23.6,4.2,0,1,1,5.4,1,0,0
23.8,4.1,0,1,1,5.5,1,0,0
24.0,4.0,0,1,1,5.6,1,0,0
24.2,3.9,0,1,1,5.7,1,0,0
24.4,3.8,0,1,1,5.8,1,0,0
24.6,3.7,0,1,1,5.9,1,0,0
24.8,3.6,0,1,1,6.0,1,0,0
25.0,3.5,0,1,1,6.1,1,0,0
25.2,3.4,0,1,1,6.2,1,0,0
25.4,3.3,0,1,1,6.3,1,0,0
25.6,3.2,0,1,1,6.4,1,0,0
25.8,3.1,0,1,1,6.49999999999999,1,0,0
26.0,3.0,0,1,1,6.59999999999999,1,0,0
26.2,2.9,0,1,1,6.69999999999999,1,0,0
26.4,2.8,0,1,1,6.79999999999999,1,0,0
26.6,2.7,0,1,1,6.89999999999999,1,0,0
26.8,2.6,0,1,1,6.99999999999999,1,0,0
27.0,2.5,0,1,1,7.09999999999999,1,0,0
